Name,Acceleration,Aggression,Agility,Balance,Ball control,Composure,Crossing,Curve,Dribbling,Finishing,Free kick accuracy,GK diving,GK handling,GK kicking,GK positioning,GK reflexes,Heading accuracy,ID,Interceptions,Jumping,Long passing,Long shots,Marking,Penalties,Positioning,Reactions,Short passing,Shot power,Sliding tackle,Sprint speed,Stamina,Standing tackle,Strength,Vision,Volleys
N. Kalinić,69,70,69,58,79,78,60,64,74,85,54,9,11,9,11,7,80,185431,42,68,48,68,22,70,90,85,72,78,28,77,79,32,78,66,80
Giuliano,83,71,85,85,82,82,73,68,82,76,69,16,11,13,9,8,59,184942,42,61,75,74,47,75,78,81,79,79,38,79,75,43,74,81,66
C. Benteke,70,63,69,48,80,78,58,60,73,79,67,14,5,12,8,5,87,184111,29,82,48,74,25,77,76,72,72,85,18,76,74,30,90,73,73
D. Perotti,84,51,80,79,87,81,79,72,86,66,64,5,8,14,6,8,57,183900,36,64,69,75,24,90,78,80,82,73,22,78,75,31,54,84,60
M. Parolo,68,80,67,71,79,78,70,67,75,70,55,13,9,6,7,9,75,183498,80,77,83,86,71,45,82,82,80,87,82,74,88,80,78,78,76
K. Mitroglou,53,83,50,34,78,80,60,72,75,82,71,12,7,10,8,16,85,183483,10,79,59,78,10,61,83,79,66,85,10,62,71,15,90,66,80
M. Sakho,53,86,61,53,61,71,60,50,50,23,30,14,12,9,7,8,74,183285,81,82,68,38,78,40,32,72,73,51,79,67,74,83,90,49,20
A. Rami,49,83,57,50,64,77,28,43,53,45,55,5,3,5,5,3,79,183280,83,76,68,58,80,48,24,75,66,83,78,57,63,81,91,22,45
S. Jovetić,75,50,80,69,88,80,72,85,85,80,72,9,7,5,9,10,74,181820,30,70,64,82,26,80,80,76,80,82,30,78,68,32,72,78,79
S. Coleman,74,78,76,74,78,78,81,42,78,62,35,5,15,10,13,7,67,180216,76,72,70,68,82,60,75,83,78,75,83,72,84,84,73,70,64
S. Kjær,60,80,48,58,67,72,54,52,42,55,73,6,10,13,10,15,82,179645,81,70,74,41,80,61,31,76,75,78,80,68,78,82,83,49,37
Adán,55,41,55,51,15,56,12,11,12,11,12,80,83,72,81,82,23,178086,20,71,43,12,11,25,11,76,34,25,18,55,35,14,77,35,15
M. Valbuena,81,52,87,93,82,64,79,82,83,74,77,14,12,8,6,8,50,177326,34,60,77,77,21,68,76,77,81,74,34,79,73,26,34,77,76
S. Mignolet,55,34,34,42,24,66,11,16,14,11,12,80,76,65,78,84,16,173426,21,69,34,16,13,41,16,77,37,45,16,56,31,14,72,40,16
D. Astori,66,77,57,48,66,74,34,33,56,25,17,4,4,4,4,4,77,173198,86,80,68,36,85,27,29,80,68,65,80,69,69,85,80,46,27
K. Mirallas,82,58,82,73,85,74,81,77,84,77,76,8,10,14,13,15,64,172175,35,73,77,76,40,78,80,76,80,77,51,84,76,52,62,67,76
Raúl García,54,84,65,63,84,83,77,72,74,73,68,14,16,14,16,15,88,171579,65,73,85,80,54,76,85,86,87,84,63,60,59,71,82,82,55
M. Škrtel,54,80,52,52,59,71,39,33,46,35,27,15,5,7,6,11,84,166706,81,75,67,35,80,39,33,73,69,46,81,67,76,83,85,28,43
T. Heaton,56,31,54,52,28,56,17,15,17,12,13,80,79,76,80,83,16,163264,24,73,37,12,15,24,12,74,32,14,13,53,40,15,66,46,12
H. Ben Arfa,79,61,85,79,83,78,74,80,89,75,75,12,8,9,13,12,53,161648,36,76,74,77,31,87,74,75,78,80,22,73,67,36,72,78,74
Dante,44,73,53,64,73,77,60,51,58,47,60,14,8,10,6,13,83,158625,80,65,75,53,80,57,41,77,74,66,84,45,62,83,81,62,44
A. Gignac,74,80,66,59,73,80,72,77,75,86,70,10,15,14,11,11,78,153244,51,70,68,80,22,78,81,76,72,84,23,71,72,41,89,72,80
Gabi,62,82,74,73,79,83,67,86,74,67,75,6,12,10,5,10,51,146954,82,60,83,76,76,83,72,80,84,81,74,65,76,79,69,79,64
G. Rodríguez,65,80,64,60,70,78,38,50,62,44,46,12,4,11,12,9,84,142780,83,86,74,36,82,74,32,76,70,68,80,70,66,84,78,64,22
D. Srna,69,83,71,65,83,81,85,86,72,69,83,10,10,6,6,12,60,139997,85,67,87,77,78,84,76,78,85,83,77,76,74,78,72,86,72
B. Schweinsteiger,40,80,66,63,80,88,76,82,71,69,78,14,14,13,13,11,78,121944,80,80,84,80,68,77,75,83,82,82,75,39,64,74,77,84,82
C. Carrasso,38,43,39,35,22,60,11,10,14,13,12,78,79,81,79,81,11,116494,23,73,22,14,13,13,13,73,24,24,14,42,31,13,71,53,13
Moyá,46,22,54,49,24,39,11,16,13,11,12,85,78,82,81,79,12,110677,11,62,35,16,13,11,10,75,31,21,14,34,30,14,57,62,13
W. Rooney,67,81,71,77,80,88,78,84,73,80,81,10,11,13,8,7,75,54050,54,76,82,79,48,83,79,83,81,86,37,68,78,51,83,80,83
P. Mertesacker,26,68,27,28,64,87,38,39,39,36,45,12,13,5,12,8,84,53612,86,30,58,25,85,42,43,85,66,71,82,28,55,87,83,58,30
T. Motta,31,93,42,50,81,80,66,67,65,54,67,10,10,7,5,14,77,49370,78,84,83,71,68,70,50,74,83,80,74,32,71,82,83,74,76
Fernando Torres,74,62,74,54,81,69,68,80,82,77,63,14,13,8,9,10,77,49369,20,75,51,73,17,74,82,73,79,83,18,77,61,22,76,76,81
S. Eto'o,73,75,78,74,78,84,69,78,80,85,72,7,10,11,13,12,75,9676,39,89,71,75,20,85,83,77,76,85,35,75,65,39,70,75,80
S. Milinković-Savić,68,73,66,59,84,76,56,72,81,69,66,7,10,7,16,7,86,223848,78,85,77,72,67,38,79,77,79,83,69,73,85,73,86,77,68
Y. Tielemans,52,70,67,76,81,81,76,84,76,73,74,6,8,10,14,12,57,216393,72,65,81,88,64,76,74,76,80,88,69,53,73,72,71,83,78
Jemerson,64,76,63,58,63,76,30,26,54,28,26,7,15,9,13,10,79,215792,82,84,60,35,79,54,26,82,70,45,80,63,67,82,78,46,46
N. Bentaleb,66,74,76,72,81,80,65,69,84,62,62,9,10,16,9,15,51,213296,78,54,76,80,70,78,68,78,86,84,60,68,77,73,71,82,67
Alisson,44,27,30,37,21,62,17,19,16,13,18,75,76,70,78,86,19,212831,11,52,20,14,20,23,13,82,27,21,16,35,32,19,78,65,20
J. Brandt,79,42,81,75,83,59,74,69,87,74,52,11,16,11,8,9,42,212194,29,63,68,73,25,54,77,78,81,77,24,83,68,20,65,83,66
K. Demirbay,67,69,78,77,84,75,72,82,82,72,80,14,15,11,14,14,46,211748,57,72,79,75,46,68,78,81,82,75,53,68,75,59,69,81,59
D. Rugani,54,70,59,53,65,70,40,45,64,33,25,5,10,5,5,5,80,211320,84,81,59,39,84,36,28,74,65,58,82,66,68,84,80,50,35
Samu Castillejo,86,48,84,78,81,70,82,75,83,69,72,13,16,15,8,14,43,210617,52,63,76,59,22,59,81,79,79,69,25,86,57,43,41,80,58
P. Zieliński,82,56,77,76,84,74,77,80,84,64,65,12,9,12,11,6,52,210406,70,54,77,75,48,51,75,76,81,76,71,83,75,72,54,82,70
Ricardo Pereira,89,75,84,78,78,81,80,76,83,60,42,16,12,15,11,11,64,210243,79,76,78,62,78,53,78,80,80,67,75,88,82,80,62,75,53
Grimaldo,87,65,82,81,81,77,78,77,82,50,80,7,13,10,7,13,64,210035,78,64,68,67,74,51,71,82,75,73,77,86,88,76,67,60,58
Fred,80,73,84,87,84,79,67,70,79,71,59,7,16,15,11,15,55,209297,69,84,77,74,75,65,69,82,85,69,69,84,88,75,45,76,64
J. Hector,76,72,67,67,81,80,79,65,74,55,65,9,10,10,12,14,73,208334,81,63,75,61,77,65,62,80,80,69,81,77,84,81,77,72,51
S. Kolašinac,73,91,52,55,69,70,74,43,63,42,25,15,9,16,7,9,73,207993,71,76,49,52,78,44,62,78,68,82,84,82,85,83,91,56,31
Arrizabalaga,34,18,41,39,16,26,25,25,10,11,19,78,81,75,76,83,17,206585,21,71,36,14,19,24,15,74,32,25,16,33,37,18,51,55,18
Leo Baptistao,77,38,78,67,81,71,69,70,80,79,59,8,14,9,6,9,78,205976,28,70,55,75,17,65,83,81,77,77,19,80,66,24,72,69,77
M. Nastasić,66,78,64,58,64,78,46,47,35,27,28,11,16,11,15,13,79,205362,78,81,67,22,81,47,30,79,69,44,86,74,65,84,78,55,32
Denis Suárez,80,47,83,76,85,70,77,82,84,75,72,10,14,10,7,7,44,205192,62,58,79,74,40,63,77,82,84,76,42,79,73,59,55,81,68
M. Batshuayi,77,61,78,78,77,81,65,61,76,83,46,9,10,16,7,15,73,204529,23,81,36,76,16,67,83,79,64,83,22,80,65,26,82,63,74
J. Brooks,69,76,60,51,62,77,36,30,65,39,28,8,7,10,9,10,86,204082,80,74,72,29,79,45,40,74,71,50,80,78,64,83,84,57,32
Eric Botteghin,35,76,35,36,64,71,30,25,41,25,43,15,12,13,14,15,79,203888,83,82,69,40,83,52,30,72,61,59,75,34,72,83,91,32,25
L. Karius,51,18,51,43,23,34,14,12,16,18,14,84,74,74,76,85,14,203775,13,74,36,16,13,19,8,78,35,20,13,50,36,11,55,45,14
T. Hazard,85,62,91,81,82,78,85,82,86,79,79,6,9,7,7,8,38,203486,39,64,71,78,28,73,80,80,79,78,35,77,77,45,59,81,80
V. Germain,78,65,91,77,80,78,75,76,76,82,75,14,7,11,9,14,79,203280,44,81,64,77,22,77,86,79,78,79,18,78,82,21,61,78,79
L. Kurzawa,81,75,77,75,80,76,83,73,77,71,53,14,10,7,9,15,76,201510,76,82,72,67,76,62,76,80,81,69,81,74,80,79,72,75,61
J. Iličić,68,58,70,56,87,78,78,77,83,78,84,13,13,8,12,6,58,200647,46,33,74,87,26,78,78,78,82,87,26,72,68,32,68,82,80
K. Volland,78,75,73,84,81,80,78,79,79,80,76,8,7,9,7,12,67,200610,44,77,67,81,17,72,80,81,81,85,33,77,88,50,82,81,76
Allan,78,85,79,82,78,77,70,65,77,62,49,13,13,5,5,8,59,199914,86,69,76,62,76,53,78,84,80,70,80,76,94,84,74,79,56
P. Hernández,72,87,72,52,80,67,54,75,81,69,69,6,15,9,15,10,53,199827,74,69,80,74,56,62,80,82,82,75,70,70,73,68,80,81,69
D. Tadić,70,56,81,80,85,77,79,83,83,65,76,11,11,14,9,16,63,199434,31,64,77,66,40,75,73,78,81,69,26,70,69,34,62,84,73
L. Muriel,87,50,86,77,85,70,60,77,86,80,60,8,10,10,14,6,65,199110,16,62,55,65,18,74,78,76,74,82,22,90,75,24,80,73,75
Pablo Sarabia,74,32,81,81,82,70,81,80,86,73,73,16,7,15,6,14,61,198950,25,45,74,75,26,61,75,74,82,77,28,77,62,27,58,81,53
A. Oxlade-Chamberlain,87,66,84,88,82,73,75,67,85,68,53,16,9,6,9,9,39,198784,51,66,73,74,52,69,74,74,78,75,54,88,76,57,70,72,58
J. Guilavogui,66,83,54,50,73,74,52,42,67,49,53,14,8,14,10,15,78,198118,83,76,75,66,76,50,63,79,77,78,86,73,77,84,82,65,49
O. Özyakup,76,73,88,83,81,82,77,83,79,68,77,7,10,9,15,13,50,196934,66,71,81,79,54,78,74,74,86,80,55,75,80,65,62,86,72
Y. Rakitskyi,69,82,72,73,77,78,68,75,69,57,77,12,16,7,12,6,69,195861,82,74,84,84,82,50,53,77,78,87,81,74,82,83,75,75,53
Sergi Enrich,63,66,68,66,80,67,70,55,74,83,47,8,8,8,14,6,80,194879,42,77,61,67,29,63,87,82,76,74,31,68,83,46,83,72,79
Neto,53,40,59,49,24,52,11,12,19,15,13,84,80,74,74,83,14,194404,15,79,36,19,19,22,11,74,36,28,15,49,39,14,63,40,12
Hugo Mallo,73,76,78,66,80,70,84,78,69,28,38,14,9,7,9,15,63,194229,80,82,68,39,75,23,46,80,70,74,82,75,90,80,69,64,28
D. Didavi,75,70,74,73,84,75,75,78,81,79,75,12,11,10,14,6,58,193886,51,76,75,87,45,65,82,81,80,87,49,78,67,58,75,70,73
R. Soriano,77,77,83,72,82,75,77,79,81,76,56,15,10,9,14,13,65,193361,69,65,78,78,48,62,74,75,83,82,67,77,79,71,69,84,75
A. Schürrle,84,66,77,76,79,75,76,80,81,80,68,7,11,12,9,12,63,193130,44,72,59,83,23,83,80,80,77,86,42,83,80,40,66,76,82
M. Gonalons,67,85,63,65,75,74,61,57,67,55,57,11,11,11,8,5,75,193116,83,79,75,59,78,68,60,77,78,77,75,66,88,82,76,65,60
R. Pereyra,78,66,79,75,83,78,78,78,82,61,72,4,5,3,4,8,60,193061,72,66,76,72,64,72,76,78,83,66,70,78,77,71,64,81,74
K. Vogt,66,81,59,49,71,71,60,50,67,50,62,6,13,8,7,14,78,192641,82,55,83,57,76,53,55,77,74,78,78,85,75,81,85,67,51
F. Orellana,82,54,85,66,83,75,78,81,85,75,79,12,7,15,16,15,69,192492,31,69,68,80,18,75,75,80,77,64,25,78,60,37,42,77,61
E. Salvio,88,67,86,84,80,78,78,75,78,76,64,9,11,9,5,14,67,190972,52,87,70,74,40,60,81,77,74,74,33,86,83,38,63,73,71
D. Blind,63,70,72,75,80,83,80,84,73,46,62,12,9,10,14,10,71,190815,82,71,80,62,80,56,68,84,81,68,76,58,86,83,74,76,62
S. El Shaarawy,86,54,85,82,86,74,70,80,84,75,63,5,3,5,5,3,51,190813,36,60,57,74,25,72,76,72,74,74,25,87,70,30,54,73,77
M. Antonio,82,75,86,76,78,70,73,66,83,74,60,12,13,8,14,10,88,190717,40,84,67,72,44,73,77,76,73,76,53,87,78,56,86,65,69
Iago Falqué,80,48,85,86,85,78,78,80,84,75,75,15,5,14,13,7,53,190264,26,36,72,75,35,77,80,78,80,62,32,79,77,36,53,78,69
S. Rondón,73,74,69,48,78,76,48,53,75,77,52,13,13,7,5,14,88,189250,33,71,40,70,25,62,82,73,69,85,13,76,68,23,89,53,73
Daniel Carriço,54,88,59,68,69,81,61,39,58,48,54,14,10,15,15,12,79,189156,82,91,79,50,76,62,57,75,78,66,80,59,70,82,77,62,47
M. Schmelzer,75,81,66,63,71,72,79,74,63,37,72,14,10,15,9,8,73,188802,78,74,66,60,79,46,54,78,74,74,81,84,86,82,75,52,47
J. McCarthy,72,79,66,71,74,75,68,64,76,55,64,12,11,8,10,13,63,188253,78,66,81,65,79,60,63,75,82,67,78,68,90,78,78,72,61
Ganso,36,56,71,56,83,80,83,80,84,72,76,9,12,14,7,11,65,187688,47,30,84,79,30,76,74,75,86,77,35,34,68,31,67,87,75
F. Smolov,89,67,75,66,78,73,56,78,77,82,64,16,9,16,15,10,70,187491,32,67,62,74,26,74,83,74,77,80,24,85,74,28,75,75,79
D. Welbeck,83,75,82,63,78,76,69,61,80,75,62,9,10,6,12,16,75,186146,32,80,64,69,28,70,80,78,76,77,33,84,81,38,78,72,76
Luiz Gustavo,65,88,65,62,72,76,61,42,68,46,45,10,6,11,12,13,73,185221,83,75,75,71,74,58,51,79,77,80,85,64,77,83,78,68,54
Mikel San José,38,74,47,55,79,70,47,31,70,69,44,10,6,10,8,16,82,185132,83,77,82,78,72,51,70,82,83,71,74,47,79,85,79,77,70
M. Darmian,78,76,80,78,75,76,71,69,74,55,35,6,7,7,12,7,68,184392,79,73,66,56,81,45,64,80,76,69,82,77,88,84,65,63,59
R. Thomas,55,74,54,50,72,76,50,39,28,22,34,13,7,11,14,10,80,184190,82,68,72,28,79,55,28,72,76,65,79,54,61,81,86,37,18
I. Traoré,92,53,94,93,78,79,80,84,86,66,74,6,6,11,8,7,44,183909,41,72,74,78,32,56,76,80,76,80,40,85,74,43,47,76,75
Sidnei,42,77,51,45,76,71,56,36,69,46,39,10,16,12,9,14,74,182002,80,63,68,50,80,58,44,75,71,61,79,58,69,82,90,44,43
J. Lens,87,53,75,81,81,76,82,71,83,75,68,16,16,14,15,6,63,178416,23,73,63,75,22,67,71,80,79,80,32,90,76,39,76,77,85
Eder,86,60,81,80,85,78,72,80,83,81,78,8,12,11,10,9,60,178311,24,50,58,78,18,78,85,78,76,80,26,84,74,20,60,78,76
Kiko Casilla,32,45,43,58,20,51,24,25,12,14,25,75,83,80,82,77,13,177644,20,69,24,13,12,23,12,74,30,24,11,49,43,15,79,52,23
Nacho Monreal,74,74,73,74,77,76,78,74,73,39,59,7,5,9,3,5,67,177604,83,75,61,61,80,61,64,79,77,71,81,72,83,82,65,66,56
S. Bender,67,82,63,61,60,81,43,33,58,39,30,13,7,8,14,15,75,177458,80,73,69,62,80,34,49,78,73,73,88,72,86,86,76,65,54
M. Díaz,65,78,79,94,80,70,74,83,72,52,82,2,2,2,2,2,63,176930,80,74,81,80,75,66,66,79,84,84,68,57,86,79,66,76,66
A. Fernández,67,80,75,75,81,81,70,65,78,69,61,9,13,6,16,9,59,176915,77,59,80,73,57,62,78,82,81,74,64,71,78,76,73,81,57
M. Berg,74,61,71,71,77,75,56,66,72,82,47,10,7,12,8,14,77,176733,28,74,51,74,12,70,83,75,72,79,25,75,69,33,76,66,74
V. Birsa,72,55,68,68,86,80,78,78,84,62,78,3,5,5,5,3,60,176104,49,68,76,83,44,76,75,76,82,84,40,78,74,52,78,82,73
Pedro León,64,55,68,73,85,71,90,87,84,74,84,11,12,10,15,16,36,175379,43,45,82,79,34,71,74,71,80,82,36,69,68,46,63,82,68
K. Boateng,73,82,77,68,83,80,75,81,79,75,71,6,11,15,16,6,74,173909,67,79,77,77,59,67,77,73,80,84,72,73,67,71,82,76,83
Marcano,67,79,58,56,65,70,49,39,54,41,37,8,16,7,14,16,83,173521,82,90,67,42,80,35,30,70,73,65,77,69,76,82,77,48,34
H. Moreno,66,78,66,62,68,76,64,48,56,43,28,12,15,14,9,10,84,173432,76,74,68,44,83,63,46,78,75,64,82,66,71,80,75,59,55
S. Romero,47,33,52,44,40,63,11,12,12,14,13,78,76,81,78,82,12,173373,21,63,48,11,14,16,11,77,39,14,15,44,35,11,75,55,17
A. Candreva,77,66,74,76,84,73,85,74,82,74,71,10,4,14,4,14,55,173221,59,35,70,85,54,83,79,78,77,87,50,78,86,58,70,74,75
D. Wass,73,59,78,59,81,71,78,79,80,69,83,11,9,10,13,13,67,172522,74,59,77,70,59,64,74,82,82,86,68,76,90,67,68,80,69
Coke,75,74,68,70,79,63,81,70,72,62,36,10,9,13,6,16,83,172316,77,74,66,60,76,74,62,84,76,70,80,75,78,82,69,60,43
A. Guardado,76,72,82,88,84,76,73,70,80,58,71,7,10,10,11,10,55,171897,72,74,82,65,60,70,67,82,84,74,72,76,84,72,57,81,69
J. dos Santos,68,59,74,81,85,65,83,80,80,62,76,15,15,7,10,12,57,170370,65,69,78,74,52,59,80,78,84,72,55,65,77,63,65,83,73
E. Lamela,78,74,77,70,82,75,76,83,85,73,79,10,15,11,8,13,71,170368,43,64,72,82,37,75,77,77,82,80,39,74,77,47,59,80,77
R. Bertrand,79,73,76,68,79,76,82,74,77,50,66,11,13,15,10,15,69,169705,77,71,70,54,79,52,63,76,76,59,82,79,83,82,73,51,43
Renato Augusto,66,53,66,66,84,68,79,80,85,65,75,6,11,16,15,8,57,169195,70,49,81,81,67,68,75,83,81,81,59,67,71,68,78,81,77
Jardel,55,85,34,34,56,71,46,30,52,38,35,7,16,11,16,7,84,168530,77,66,53,37,81,57,30,71,62,58,78,64,67,84,90,47,27
V. Denisov,86,82,69,70,69,61,73,65,73,40,62,13,9,7,9,10,66,167553,87,71,65,53,76,31,60,74,67,75,83,80,91,80,72,63,57
D. Basta,77,76,70,68,78,78,78,72,76,58,66,12,6,11,14,14,72,167514,82,70,74,76,78,55,66,78,76,80,80,76,82,82,74,56,64
G. Cabral,43,84,59,63,61,71,35,33,49,22,48,11,7,11,7,11,81,165536,80,86,59,29,82,47,40,76,74,50,84,42,73,79,78,49,28
G. Paletta,49,84,46,40,55,74,30,48,55,16,35,10,6,15,10,14,76,165526,84,80,61,44,84,35,28,76,55,60,80,53,69,84,87,18,30
T. Walcott,92,65,83,79,78,78,74,76,81,77,74,11,8,9,9,8,58,164859,35,66,65,69,33,74,80,77,74,76,36,91,73,39,62,72,72
L. Fabiański,50,43,52,44,22,63,14,18,14,13,12,77,84,70,78,84,11,164835,16,68,32,20,11,22,15,71,20,14,13,47,25,12,65,52,17
B. Foster,50,15,45,50,25,67,15,15,14,18,17,79,79,73,77,84,14,163155,23,75,32,14,15,41,14,72,36,27,14,48,32,15,57,42,14
V. Ibišević,53,83,65,59,76,79,65,73,72,85,56,16,12,13,14,16,83,162369,30,72,47,66,20,81,86,84,78,81,22,53,64,29,79,73,84
K. El Ahmadi,66,84,74,72,82,84,60,68,73,54,50,12,16,11,14,8,60,162329,76,67,82,66,66,69,64,81,83,74,73,65,83,78,74,75,65
S. Kalou,69,35,77,78,85,79,69,72,87,83,62,8,9,14,7,6,76,158232,32,76,68,67,22,86,83,82,78,76,27,67,67,33,68,75,78
Manuel Fernandes,83,68,82,76,83,77,79,79,84,71,70,14,14,9,16,8,59,157960,68,74,80,82,62,75,70,72,79,83,68,76,73,69,71,79,69
A. Granqvist,46,81,55,36,63,78,49,36,49,51,40,7,9,12,10,15,81,156713,82,64,67,59,83,79,54,76,73,74,79,49,67,83,83,49,37
L. Podolski,79,70,69,72,78,79,75,80,78,82,75,10,9,16,9,9,65,150516,36,71,64,81,33,83,79,76,77,92,39,77,68,39,78,78,89
Javi Fuego,61,87,64,60,74,86,59,70,62,54,62,7,13,14,10,14,60,146460,83,70,74,64,75,60,58,82,79,72,81,52,73,83,77,72,53
F. Belluschi,70,73,78,74,80,85,81,85,79,69,82,11,9,12,13,7,58,143587,69,67,78,80,45,75,74,80,80,83,59,70,65,65,70,86,75
A. Mirante,44,32,50,50,21,65,10,17,15,17,13,82,80,64,78,82,13,140293,17,62,35,15,18,21,10,77,35,23,12,43,33,12,55,43,15
F. Marchetti,55,36,60,51,20,64,13,14,11,17,12,80,78,66,78,84,12,139668,22,84,35,13,19,22,12,80,36,20,14,50,34,12,62,45,12
Kaká,63,45,68,64,83,85,74,84,79,74,70,3,5,5,3,3,52,138449,42,53,73,76,14,84,77,76,81,76,31,61,44,31,70,84,84
J. Milner,69,79,72,73,78,86,85,81,77,66,77,1,1,1,1,1,69,138412,76,64,81,77,76,83,75,84,84,85,79,66,91,77,73,77,76
A. Hutchinson,68,69,67,62,80,82,70,67,74,63,64,8,12,9,6,16,75,134744,80,60,76,61,75,76,64,83,85,73,73,69,92,80,79,66,63
M. Topal,67,70,66,62,79,75,56,60,72,58,54,15,10,15,9,11,76,124635,86,80,76,73,78,68,56,80,77,84,79,68,90,85,79,58,54
J. Mathieu,67,80,55,39,65,76,79,80,59,51,71,13,14,10,9,5,80,112316,82,67,77,74,79,60,53,76,69,79,75,76,76,83,90,42,61
C. Kameni,44,34,65,57,14,57,12,11,15,11,12,84,82,74,76,80,13,111661,24,76,29,12,13,24,14,71,27,22,12,45,40,11,79,40,13
P. Jagielka,47,79,51,62,62,76,55,55,49,30,31,32,33,38,32,34,79,53914,81,83,66,54,81,68,51,74,71,69,81,52,71,84,80,39,44
P. Evra,73,83,78,87,75,80,78,76,74,33,51,3,5,5,5,3,80,52091,85,86,69,63,78,57,68,78,75,72,82,70,68,79,69,62,53
J. Defoe,77,63,83,88,77,84,54,63,78,87,68,7,14,8,10,13,66,50542,19,75,43,80,24,74,87,81,68,88,11,72,72,20,61,67,82
Júlio César,39,37,69,56,32,68,18,16,27,12,11,83,77,62,77,81,18,48717,25,75,21,17,19,13,12,75,23,14,16,43,35,10,72,67,11
M. Carrick,43,64,58,62,79,88,72,68,71,59,59,13,12,11,15,9,71,21146,81,72,85,64,73,64,66,85,87,78,70,44,65,76,66,83,67
Oyarzabal,71,40,72,69,82,69,81,63,81,75,55,10,6,10,13,11,44,230142,29,58,73,77,35,47,80,81,79,73,30,75,67,32,59,78,64
Soares,82,90,74,77,77,79,52,69,74,80,40,8,9,7,7,7,77,227476,40,78,54,66,33,68,83,81,66,77,35,87,86,45,83,58,73
M. Campaña,40,25,40,44,27,37,21,15,18,16,13,82,75,72,78,82,13,225647,31,60,25,15,12,23,18,67,25,24,18,48,18,16,81,51,12
F. Andone,79,83,78,69,76,86,62,58,73,79,55,8,6,11,15,6,76,225018,51,79,53,74,27,74,84,84,64,79,38,78,87,52,75,67,77
M. Acuña,85,74,84,84,79,82,86,87,79,67,78,8,14,13,13,14,55,224334,63,69,71,83,53,43,72,75,76,78,54,84,87,58,71,78,68
V. Lindelöf,68,80,64,47,62,70,48,64,59,36,66,12,16,8,7,9,78,221660,81,81,68,57,79,55,37,78,74,68,77,72,77,79,79,49,34
Y. Cardinale,53,37,43,47,30,46,20,13,25,14,18,78,75,75,80,82,16,221130,15,57,37,20,18,23,12,70,52,25,16,40,36,14,76,48,20
C. Lenglet,72,80,50,53,75,74,36,25,60,23,27,10,10,9,12,7,70,220440,78,72,69,35,78,43,42,78,74,58,79,73,70,81,80,43,24
M. Dahoud,78,68,87,78,82,59,67,58,81,60,48,14,7,9,12,11,42,218339,67,70,78,78,63,55,65,74,87,72,61,69,85,65,58,81,49
D. Zappacosta,78,75,75,77,73,72,79,72,76,60,59,11,9,8,6,11,68,216150,75,69,66,72,75,59,71,75,72,74,79,85,90,77,71,64,68
N. Maksimović,62,77,51,58,61,70,45,29,49,22,23,12,9,5,11,15,82,215466,80,67,59,29,81,26,29,71,59,39,79,68,67,84,86,31,28
E. Rigoni,90,44,78,68,77,71,81,81,82,75,78,16,6,10,8,16,46,215259,33,57,71,73,46,60,75,69,75,71,55,82,80,41,58,77,71
I. Marcone,57,81,58,60,73,73,58,59,66,48,60,16,11,12,16,10,73,215057,79,41,83,66,73,59,56,79,78,73,71,42,84,78,82,65,49
L. López,64,79,64,55,65,75,33,37,61,48,32,14,12,8,6,13,81,215051,80,87,58,44,77,48,38,76,67,67,78,68,73,79,82,41,50
A. Correa,85,41,87,83,85,71,64,82,87,82,65,13,10,9,8,16,61,214997,45,52,56,83,46,55,79,82,65,78,44,79,67,51,59,69,77
K. Coman,93,36,87,84,79,73,77,84,84,75,70,5,3,5,3,5,52,213345,23,73,62,73,11,70,75,76,74,76,15,92,74,15,58,69,77
S. Kritsyuk,49,27,36,41,23,24,20,12,13,19,20,78,79,73,76,81,17,213150,16,69,21,14,18,14,18,73,31,22,13,47,37,15,67,35,12
W. Cyprien,78,78,81,75,81,79,74,78,80,74,79,8,16,8,11,14,67,212886,79,80,75,79,69,53,69,72,79,82,68,79,86,78,79,76,60
Diego Llorente,59,75,59,51,76,69,55,30,51,39,35,8,12,11,9,7,77,212602,82,69,69,37,79,53,43,76,78,45,81,62,71,80,72,51,31
L. Dendoncker,66,75,59,62,73,74,75,72,68,66,71,14,8,14,14,6,79,212501,78,77,78,76,71,44,71,77,78,86,78,70,93,80,82,76,71
M. Meyer,79,61,91,90,82,78,74,74,84,68,66,8,12,13,11,14,37,212150,41,59,72,61,32,60,74,78,81,45,27,67,78,36,37,81,60
Gayà,83,74,80,82,76,70,81,80,77,56,49,13,10,9,12,9,60,211688,76,75,75,59,77,52,72,78,78,58,79,89,77,76,61,70,59
S. Boufal,83,47,90,85,86,69,70,71,87,72,69,9,16,10,14,7,35,211381,19,33,66,69,44,69,76,70,76,71,32,81,67,40,31,77,70
M. Benassi,69,74,75,67,78,75,72,71,78,63,65,11,7,5,12,14,72,211354,75,69,76,79,64,51,77,75,82,82,74,68,82,77,77,75,70
N. Tagliafico,92,73,83,82,75,73,67,61,74,57,40,13,9,10,15,16,76,211256,77,84,66,44,79,46,66,74,69,66,78,85,88,78,62,68,33
E. Hysaj,78,79,76,69,74,73,76,40,72,47,30,12,6,14,9,11,66,210864,78,69,68,43,77,40,63,78,74,68,80,84,85,80,69,56,40
João Cancelo,93,69,78,74,79,69,80,81,82,59,69,6,9,15,14,14,64,210514,69,73,73,66,74,46,80,78,78,80,76,91,81,78,66,66,55
